vul_id,pkg_name,vul_introduced,vul_fixed,repo_url
GHSA-hfq9-rfpv-j8r8,pidusage,0,1.1.5,
GHSA-7j52-6fjp-58gr,@openzeppelin/contracts-upgradeable,4.0.0,4.3.0,https://github.com/OpenZeppelin/openzeppelin-contracts-upgradeable
GHSA-77mv-4rg7-r8qv,@finastra/nestjs-proxy,0,0.7.0,https://github.com/Finastra/finastra-nodejs-libs
GHSA-qm95-pgcg-qqfq,socket.io-parser,4.0.0,4.0.5,https://github.com/socketio/socket.io-parser
GHSA-qm95-pgcg-qqfq,socket.io-parser,4.1.0,4.2.1,https://github.com/socketio/socket.io-parser
GHSA-qm95-pgcg-qqfq,socket.io-parser,0,3.3.3,https://github.com/socketio/socket.io-parser
GHSA-qm95-pgcg-qqfq,socket.io-parser,3.4.0,3.4.2,https://github.com/socketio/socket.io-parser
GHSA-v5hp-35hw-cw5x,rendr,0,1.1.4,https://github.com/rendrjs/rendr-handlebars
GHSA-q5wr-fvpq-p67g,png-img,0,3.1.0,
GHSA-vhhw-xjvf-wprr,@graphql-tools/git-loader,0,6.2.6,
GHSA-6gp3-h3jj-prx4,class-transformer,0,0.3.1,https://github.com/typestack/class-transformer
GHSA-7f59-x49p-v8mq,swagger-ui,0,2.2.1,https://github.com/swagger-api/swagger-ui
GHSA-j5c2-hm46-wp5c,ghost,4.0.0,4.10.0,https://github.com/TryGhost/Ghost
GHSA-vg44-fw64-cpjx,eth-ledger-bridge-keyring,0,0.2.1,
GHSA-vg44-fw64-cpjx,@metamask/eth-ledger-bridge-keyring,0,0.2.2,
GHSA-v7cp-5326-54fh,bruteser,0,0.1.0,
GHSA-prfq-f66g-43mp,auth0-js,8.0.0,9.13.2,
GHSA-6663-c963-2gqg,ws,0,1.1.1,
GHSA-x4jg-mjrx-434g,node-forge,0,1.3.0,https://github.com/digitalbazaar/forge
GHSA-rrc9-gqf8-8rwg,aws-sdk,0,2.814.0,
GHSA-rrc9-gqf8-8rwg,@aws-sdk/shared-ini-file-loader,0,1.0.0-rc.9,
GHSA-884w-698f-927f,unzipper,0,0.8.13,
